rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:51MMC5DogGZAnHil5HQAXg","Post Malone","Circles","Republic Records",1,2,2,"43379405"
2,"spotify:track:6v3KW9xbzN5yKLt9YKDYA2","Shawn Mendes, Camila Cabello","Señorita","Island Records",1,1,12,"42601173"
3,"spotify:track:6vBdBCoOhKHiYDDOcorfNo","Post Malone, Young Thug","Goodbyes (feat. Young Thug)","Republic Records",2,5,10,"33267154"
4,"spotify:track:7C39RtGhnEw7cyf0Pyw7PV","Post Malone","Saint-Tropez","Republic Records",4,-1,1,"30900415"
5,"spotify:track:77Y7tccX9Hx5iClDr39uy9","Post Malone","Hollywood's Bleeding","Republic Records",5,-1,1,"28946369"
6,"spotify:track:4Yq3XUNfWrAPWuB94qkC09","Post Malone, Ozzy Osbourne, Travis Scott","Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Republic Records",6,-1,1,"27875018"
7,"spotify:track:6UFEJuDXQMWhL5UH5f9fUR","Post Malone, DaBaby","Enemies (feat. DaBaby)","Republic Records",7,-1,1,"25861671"
8,"spotify:track:2ksOAxtIxY8yElEWw8RhgK","Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna","China","2019 Real Hasta La Muerte, LLC.",2,3,8,"25669052"
9,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",6,6,8,"24981396"
10,"spotify:track:6EOKwHETwSkZ9gW2b6ASE0","Lil Tecca","Ransom","Republic Records",3,4,15,"24251064"
11,"spotify:track:4VqTRBvYg0z8C4nsl4Hupy","Post Malone, Swae Lee","Sunflower - Spider-Man: Into the Spider-Verse","Republic Records",1,21,47,"24239608"
12,"spotify:track:70eFcWOvlMObDhURTqT4Fv","Ed Sheeran, Khalid","Beautiful People (feat. Khalid)","Atlantic Records UK",3,7,11,"22423448"
13,"spotify:track:59PYPDxTbqJpiGfyogPb5h","Post Malone, Halsey, Future","Die For Me (feat. Future & Halsey)","Republic Records",13,-1,1,"22378443"
14,"spotify:track:51Fjme0JiitpyXKuyQiCDo","Y2K, bbno$","Lalala","Columbia",12,12,12,"21121086"
15,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",7,10,36,"21071208"
16,"spotify:track:2Fxmhks0bxGSBdJ92vM42m","Billie Eilish","bad guy","Darkroom/Interscope Records",1,8,24,"20885261"
17,"spotify:track:0hGH0S74Eoyv6mXZcOKtdQ","Post Malone, Meek Mill, Lil Baby","On The Road (feat. Meek Mill & Lil Baby)","Republic Records",17,-1,1,"20344215"
18,"spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y","Sam Smith","How Do You Sleep?","Capitol",7,11,8,"19566582"
19,"spotify:track:3hFG4jR5stnIQJDI64KlJY","Post Malone","A Thousand Bad Times","Republic Records",19,-1,1,"19204719"
20,"spotify:track:0hVXuCcriWRGvwMV1r5Yn9","Ed Sheeran, Justin Bieber","I Don't Care (with Justin Bieber)","Atlantic Records UK",1,9,18,"19078532"
21,"spotify:track:6osaMSJh9NguagEDQcZaKx","DJ Snake, J Balvin, Tyga","Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake Music Productions Limited",10,14,13,"17592111"
22,"spotify:track:4LIbjDbLweGCrHVw8QbMSb","Post Malone","Allergic","Republic Records",22,-1,1,"17176868"
23,"spotify:track:2YpeDb67231RjR0MgVLzsG","Lil Nas X, Billy Ray Cyrus","Old Town Road - Remix","Columbia",2,15,23,"17023945"
24,"spotify:track:2ve5NyzWHUbIYxL33goCX7","Post Malone","Wow.","Republic Records",2,60,38,"16483798"
25,"spotify:track:4hDoWaIklSVAKLocU3IDBr","Post Malone","I'm Gonna Be","Republic Records",25,-1,1,"16445471"
26,"spotify:track:2TH65lNHgvLxCKXM3apjxI","Bad Bunny, Tainy","Callaita","Rimas Entertainment LLC",7,16,15,"16442653"
27,"spotify:track:2leIuE4fdcJoNMSKu5Yr7a","Post Malone, SZA","Staring At The Sun (feat. SZA)","Republic Records",27,-1,1,"16203381"
28,"spotify:track:0Ryd8975WihbObpp5cPW1t","Ariana Grande, Social House","boyfriend (with Social House)","Republic Records",3,17,6,"15723223"
29,"spotify:track:5qmq61DAAOUaW8AUo8xKhh","Lizzo","Truth Hurts","Nice Life/Atlantic",16,18,20,"15219666"
30,"spotify:track:1dGr1c8CrMLDpV6mPbImSI","Taylor Swift","Lover","Taylor Swift",2,13,4,"15201601"
31,"spotify:track:6fTt0CH2t0mdeB2N9XFG5r","Lil Nas X","Panini","Columbia",7,33,12,"15042259"
32,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",17,19,11,"14898078"
33,"spotify:track:7BlBVFwvbWvcwNcUarQmjk","ROSALÍA, Ozuna","Yo x Ti, Tu x Mi","Columbia",20,20,4,"14840184"
34,"spotify:track:7LzouaWGFCy4tkXDOOnEyM","Camila Cabello","Liar","Syco Music/Epic",34,-1,1,"14415914"
35,"spotify:track:1nocRtwyNPVtGcIJqfgdzZ","Camilo, Pedro Capó","Tutu","Sony Music Latin",28,28,5,"14206602"
36,"spotify:track:4R8BJggjosTswLxtkw8V7P","Jhayco, J Balvin, Bad Bunny","No Me Conoce - Remix","N&E Entertainment LLC",20,22,16,"13870749"
37,"spotify:track:6XHVuErjQ4XNm6nDPVCxVX","Chris Brown, Drake","No Guidance (feat. Drake)","Chris Brown Entertainment/RCA Records",11,23,14,"13291234"
38,"spotify:track:4bTZeO72FwMa6wKOiqoynL","Sech, Ozuna, Anuel AA, Darell, Nicky Jam","Otro Trago - Remix","Rich Music",11,24,7,"12716745"
39,"spotify:track:4YgtN1HasxdDlrrZIggYxn","Post Malone","Myself","Republic Records",39,-1,1,"12555928"
40,"spotify:track:3jbT1Y5MoPwEIpZndDDwVq","Tainy, Anuel AA, Ozuna","Adicto (with Anuel AA & Ozuna)","NEON16/Interscope Records",39,39,3,"12412350"
41,"spotify:track:5ry2OE6R2zPQFDO85XkgRb","Drake, Rick Ross","Money In The Grave (Drake ft. Rick Ross)","Republic Records",5,27,13,"12317053"
42,"spotify:track:2sfZgYusD8bBvB7qWekvSx","Post Malone","I Know","Republic Records",42,-1,1,"11954473"
43,"spotify:track:322tcqPhma7F6hfCeLisx0","Lauv, Anne-Marie","fuck, i'm lonely","Lauv",30,30,6,"11906737"
44,"spotify:track:4RzpCjByV1NWUGKVQGuej6","Post Malone","Internet","Republic Records",44,-1,1,"11850920"
45,"spotify:track:2qMnZF5Ja2WvmfbblByQza","Lunay, Daddy Yankee, Bad Bunny","Soltera - Remix","La Familia",8,31,18,"11802714"
46,"spotify:track:1DFD5Fotzgn6yYXkYsKiGs","MEDUZA, Goodboys","Piece Of Your Heart","Virgin",14,29,22,"11722564"
47,"spotify:track:44ADyYoY5liaRa3EOAl4uf","Miley Cyrus","Slide Away","RCA Records Label",31,36,4,"11236538"
48,"spotify:track:6moU77g9RQyMzHNuKEaQKq","Ali Gatie","It's You","Warner Records",27,32,13,"11098955"
49,"spotify:track:3s4mrPrEFFPF0LmAfutW0n","Young Thug, J. Cole, Travis Scott","The London (feat. J. Cole & Travis Scott)","300 Entertainment/Atl",6,35,16,"10786212"
50,"spotify:track:6oJ6le65B3SEqPwMRNXWjY","Kygo, Whitney Houston","Higher Love","Kygo/RCA Records",31,37,11,"10765320"
51,"spotify:track:25ZAibhr3bdlMCLmubZDVt","J Balvin, Bad Bunny","QUE PRETENDES","Universal Music Latino / Rimas",15,38,11,"10278084"
52,"spotify:track:6wo37KVqFJhtuxPTpLCcfe","The Chainsmokers, ILLENIUM, Lennon Stella","Takeaway","Disruptor Records/Columbia",28,34,7,"10209736"
53,"spotify:track:6RRNNciQGZEXnqk8SQ9yv5","Taylor Swift","You Need To Calm Down","Taylor Swift",4,25,13,"10156422"
54,"spotify:track:3UYiU57SMiAS5LqolhHJw1","Camila Cabello","Shameless","Syco Music/Epic",54,-1,1,"10013820"
55,"spotify:track:3Yh9lZcWyKrK9GjbhuS0hR","Lizzo","Good as Hell","Nice Life/Atlantic",45,45,10,"9525733"
56,"spotify:track:0rIAC4PXANcKmitJfoqmVm","Normani","Motivation","Keep Cool/RCA Records",42,42,4,"9407600"
57,"spotify:track:2VxeLyX666F8uXCJ0dZF8B","Lady Gaga, Bradley Cooper","Shallow","A Star is Born OST",3,47,50,"9328939"
58,"spotify:track:6ocbgoVGwYJhOv1GgI9NsF","Ariana Grande","7 rings","Republic Records",1,43,34,"9289242"
59,"spotify:track:7KbF6AdprOXEEHlsq11Z6d","Maluma","11 PM","Sony Music Latin",31,40,17,"9285282"
60,"spotify:track:3RauEVgRgj1IuWdJ9fDs70","Taylor Swift","The Man","Taylor Swift",7,26,3,"9275606"
61,"spotify:track:2qG5sZ7Si6sdK74qLxedYM","ROSALÍA, J Balvin, El Guincho","Con Altura","Columbia",30,44,24,"9041637"
62,"spotify:track:26wLOs3ZuHJa2Ihhx6QIE6","5 Seconds of Summer","Teeth","UMGRI Interscope",46,46,3,"8964349"
63,"spotify:track:22vgEDb5hykfaTwLuskFGD","Jonas Brothers","Sucker","Jonas Brothers Recording",2,48,28,"8510088"
64,"spotify:track:2bT1PH7Cw3J9p3t7nlXCdh","Shawn Mendes","If I Can't Have You","Island Records",4,51,19,"8445093"
65,"spotify:track:7aiClxsDWFRQ0Kzk5KI5ku","blackbear","hot girl bummer","Alamo",65,67,3,"8266339"
66,"spotify:track:0u2P5u6lvoDfwTYjAADbn4","Billie Eilish, Khalid","lovely (with Khalid)","Darkroom",24,59,73,"8257652"
67,"spotify:track:2dpaYNEQHiRxtZbfNsse99","Marshmello, Bastille","Happier","Astralwerks",2,56,56,"8208760"
68,"spotify:track:5w9c2J52mkdntKOmRLeM2m","Daddy Yankee, Snow","Con Calma","El Cartel Records (EC3)",2,50,33,"8057732"
69,"spotify:track:6TqXcAFInzjp0bODyvrWEq","Khalid, Disclosure","Talk (feat. Disclosure)","Right Hand Music Group, LLC/RCA Records",10,57,31,"7943396"
70,"spotify:track:4a6q8CR2hzLk2plDkSxkfD","Bazzi","I.F.L.Y.","iamcosmic",47,54,8,"7918664"
71,"spotify:track:43zdsphuZLzwA9k4DJhU0I","Billie Eilish","when the party's over","Darkroom/Interscope Records",9,62,47,"7859348"
72,"spotify:track:0e7ipj03S05BNilyu5bRzt","Post Malone, 21 Savage","rockstar (feat. 21 Savage)","Republic Records",1,73,104,"7616911"
73,"spotify:track:2xLMifQCjDGFmkHkpNLD9h","Travis Scott","SICKO MODE","Cactus Jack / Epic / Grand Hustle",2,58,58,"7479893"
74,"spotify:track:1skUhc3JS3jLCfugI3gm41","Loredana, MERO","Kein Plan","Loredana",74,-1,1,"7390914"
75,"spotify:track:4hPpVbbakQNv8YTHYaOJP4","Marshmello, Kane Brown","One Thing Right","RCA Records Label Nashville",30,63,12,"7287661"
76,"spotify:track:2Rk4JlNc2TPmZe2af99d45","Taylor Swift, Brendon Urie, Panic! At The Disco","ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",2,49,20,"7266121"
77,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",16,41,3,"7265268"
78,"spotify:track:1GeNui6m825V8jP4uKiIaH","Young Thug, Lil Baby","Bad Bad Bad (feat. Lil Baby)","300 Entertainment/Atl",46,83,4,"7221858"
79,"spotify:track:36orMWv2PgvnzXsd5CJ0yL","Sam Feldt, RANI","Post Malone (feat. RANI)","Spinnin' Remixes",59,78,12,"7195957"
80,"spotify:track:5p7ujcrUXASCNwRaWNHR1C","Halsey","Without Me","Capitol Records",4,86,49,"7180159"
81,"spotify:track:4u7EnebtmKWzUH433cf5Qv","Queen","Bohemian Rhapsody - Remastered 2011","EMI",11,75,54,"7119959"
82,"spotify:track:6AFIVhbJLR7YVvW9fLFMu1","Samra, Capital Bra","Huracan","Urban",82,-1,1,"7109307"
83,"spotify:track:6alCTRgBPoeAFi2N4il9Q4","Lil Tecca","Did It Again","Republic Records",65,65,4,"7104646"
84,"spotify:track:2gwkD6igEhQbDQegRCcdoB","DaBaby","Suge","South Coast Music Group/Interscope Records",26,71,20,"7093323"
85,"spotify:track:5N1o6d8zGcSZSeMFkOUQOk","Megan Thee Stallion, Ty Dolla $ign, Nicki Minaj","Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","300 Entertainment",32,64,5,"7065662"
86,"spotify:track:5MPPttjfGap2C6j6eKcO6J","Quality Control, Lil Baby, DaBaby","Baby (Lil Baby feat. DaBaby)","Quality Control Music/Motown Records",67,94,8,"7006606"
87,"spotify:track:6K5BsR04ijf3FHNzjbaagD","Myke Towers, Farruko, Arcángel, Sech, Zion","Si Se Da - Remix","2019 Casablanca Records & One World Music | Distributed by GLAD Empire",68,68,6,"6945595"
