rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,1,9,"65706259"
2,"spotify:track:37Nqx7iavZpotJSDXZWbJ3","Drake, Lil Baby","Girls Want Girls (with Lil Baby)","OVO",2,-1,1,"45594878"
3,"spotify:track:40iJIUlhi6renaREYGeIDS","Drake, Travis Scott","Fair Trade (with Travis Scott)","OVO",3,-1,1,"43845716"
4,"spotify:track:27NovPIUIRrOZoCHxABJwK","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",2,2,7,"42154185"
5,"spotify:track:0k1WUmIRnG3xU6fvvDVfRG","Drake, Future, Young Thug","Way 2 Sexy (with Future & Young Thug)","OVO",5,-1,1,"38422223"
6,"spotify:track:2HSmyk2qMN8WQjuGhaQgCk","Drake","Champagne Poetry","OVO",6,-1,1,"34053174"
7,"spotify:track:6PQ88X9TkUIAUIZJHW2upE","Ed Sheeran","Bad Habits","Atlantic Records UK",3,3,11,"32477559"
8,"spotify:track:3Wrjm47oTz2sjIgck11l5e","Måneskin","Beggin'","RCA Records Label",1,4,14,"29650985"
9,"spotify:track:5fwSHlTEWpluwOM0Sxnh5k","Farruko","Pepas","Sony Music Latin",6,6,9,"29585088"
10,"spotify:track:2BcMwX1MPV6ZHP4tUT9uq6","Drake, 21 Savage, Project Pat","Knife Talk (with 21 Savage ft. Project Pat)","OVO",10,-1,1,"28347807"
11,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",9,9,9,"27507841"
12,"spotify:track:6jy9yJfgCsMHdu2Oz4BGKX","Drake","Papi’s Home","OVO",12,-1,1,"27368851"
13,"spotify:track:0RbW8kWozrVSIGb4V13o0o","Kanye West","Hurricane","Rock The World/IDJ/Kanye LP7",5,5,2,"27212883"
14,"spotify:track:4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo","good 4 u","Olivia Rodrigo PS",1,7,17,"26877818"
15,"spotify:track:4s7QLoImIwmPi9L6dq1nVW","Drake","TSU","OVO",15,-1,1,"26226066"
16,"spotify:track:61S79KIVA4I9FXbnsylEHT","Drake, Lil Durk, Giveon","In The Bible (with Lil Durk & Giveon)","OVO",16,-1,1,"26043915"
17,"spotify:track:4VCbgIdr8ptegWeJpqLVHH","Drake, JAY-Z","Love All (with JAY-Z)","OVO",17,-1,1,"25554209"
18,"spotify:track:3Vi5XqYrmQgOYBajMWSvCi","Doja Cat","Need to Know","Kemosabe Records/RCA Records",6,8,13,"25440855"
19,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",17,17,37,"24827159"
20,"spotify:track:2tUL6dZf1mywCj5WvCPZw6","Drake","No Friends In The Industry","OVO",20,-1,1,"23993346"
21,"spotify:track:4RVwu0g32PAqgUiJoXsdF8","Billie Eilish","Happier Than Ever","Darkroom/Interscope Records",6,11,6,"22684148"
22,"spotify:track:34D6FJysnQioVingDKufuf","Drake, Future","N 2 Deep","OVO",22,-1,1,"22025962"
23,"spotify:track:67BtfxlNbhBmCDR2L2l8qd","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",1,13,24,"21529938"
24,"spotify:track:3DarAbFujv6eYNliUTyqtz","Doja Cat, SZA","Kiss Me More (feat. SZA)","Kemosabe Records/RCA Records",3,14,22,"20896669"
25,"spotify:track:5RwV8BvLfX5injfqYodke9","Rauw Alejandro","Todo De Ti","Sony Music Latin/Duars Entertainment",2,15,16,"19097158"
26,"spotify:track:11pEKMLmavDu8fxOB5QjbQ","Drake","Pipe Down","OVO",26,-1,1,"18888249"
27,"spotify:track:42m3eP1JJhtzffal9B136J","Drake","7am On Bridle Path","OVO",27,-1,1,"18180843"
28,"spotify:track:2vmfvSoZBFAt9hhRoEByLi","Aventura, Bad Bunny","Volví","Rimas Entertainment LLC",10,18,6,"17626028"
29,"spotify:track:2JPLbjOn0wPCngEot2STUS","Bad Bunny","Yonaguni","Rimas Entertainment LLC",3,20,14,"17385575"
30,"spotify:track:2Q3jFbyE61mCjS3SkW4toJ","Drake","Race My Mind","OVO",30,-1,1,"17035250"
31,"spotify:track:7F9cT6hIRhnFCYP6GKS0tf","Drake, Kid Cudi","IMY2 (with Kid Cudi)","OVO",31,-1,1,"16808455"
32,"spotify:track:2gbMPBrBVj3CuNTLp2dHYs","Kanye West","Off The Grid","Rock The World/IDJ/Kanye LP7",12,12,2,"16413179"
33,"spotify:track:4pt5fDVTg5GhEvEtlz9dKk","Måneskin","I WANNA BE YOUR SLAVE","RCA Records Label",8,21,16,"16188501"
34,"spotify:track:08XWh5c0BMyD1nKVxxl91z","Drake, Tems","Fountains (with Tems)","OVO",34,-1,1,"16082820"
35,"spotify:track:5nujrmhLynf4yMoMtj8AQF","Dua Lipa, DaBaby","Levitating (feat. DaBaby)","Warner Records",4,24,49,"16076912"
36,"spotify:track:6M3PsepEj5gyJoIi7Xvr7u","The Weeknd","Take My Breath - Single Version","XO / Republic Records",7,22,5,"15826162"
37,"spotify:track:1PDP7mLiAMwhfmgIwzhOm2","Drake, Yebba","Yebba’s Heartbreak","OVO",37,-1,1,"15567041"
38,"spotify:track:6hf0RpxTbOprT5nnwzkk8e","J Balvin, Maria Becerra","Qué Más Pues?","Sueños Globales, LLC",9,23,15,"15558142"
39,"spotify:track:5CZ40GBx1sQ9agT82CLQCT","Olivia Rodrigo","traitor","Olivia Rodrigo PS",7,25,16,"15470078"
40,"spotify:track:50ceCGZ3oD3U5caQV5bP6f","Drake, Lil Wayne, Rick Ross","You Only Live Twice (with Lil Wayne & Rick Ross)","OVO",40,-1,1,"15443086"
